"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2022","1,418.00","2,285.00","2,296.00","1,296.00","","-36.04%"
"12/01/2021","2,217.00","3,047.00","3,423.00","2,217.00","","-26.54%"
"11/01/2021","3,018.00","3,428.00","3,428.00","2,430.00","","-14.24%"
"10/01/2021","3,519.00","5,202.00","5,650.00","3,519.00","","-31.89%"
"09/01/2021","5,167.00","4,013.00","5,197.00","3,618.00","","25.05%"
"08/01/2021","4,132.00","3,282.00","4,235.00","3,281.00","","25.52%"
"07/01/2021","3,292.00","3,338.00","3,338.00","3,039.00","","-2.69%"
"06/01/2021","3,383.00","2,568.00","3,418.00","2,420.00","","30.32%"
"05/01/2021","2,596.00","3,157.00","3,266.00","2,596.00","","-14.97%"
"04/01/2021","3,053.00","2,072.00","3,053.00","2,072.00","","49.22%"
"03/01/2021","2,046.00","1,651.00","2,319.00","1,651.00","","22.15%"
"02/01/2021","1,675.00","1,444.00","1,770.00","1,303.00","","15.36%"
"01/01/2021","1,452.00","1,374.00","1,856.00","1,374.00","","6.30%"
"12/01/2020","1,366.00","1,211.00","1,366.00","1,121.00","","11.33%"
"11/01/2020","1,227.00","1,284.00","1,284.00","1,111.00","","-4.36%"
"10/01/2020","1,283.00","1,869.00","2,097.00","1,283.00","","-25.62%"
"09/01/2020","1,725.00","1,471.00","1,725.00","1,267.00","","15.93%"
"08/01/2020","1,488.00","1,385.00","1,598.00","1,385.00","","10.22%"
"07/01/2020","1,350.00","1,803.00","1,956.00","1,264.00","","-24.96%"
"06/01/2020","1,799.00","520.00","1,799.00","520.00","","256.94%"
"05/01/2020","504.00","617.00","617.00","393.00","","-20.63%"
"04/01/2020","635.00","624.00","757.00","596.00","","1.44%"
"03/01/2020","626.00","539.00","633.00","539.00","","17.01%"
"02/01/2020","535.00","466.00","535.00","411.00","","9.86%"
"01/01/2020","487.00","976.00","976.00","487.00","","-55.32%"
"12/01/2019","1,090.00","1,568.00","1,606.00","1,090.00","","-28.66%"
"11/01/2019","1,528.00","1,697.00","1,697.00","1,255.00","","-11.73%"
"10/01/2019","1,731.00","1,809.00","1,929.00","1,731.00","","-5.05%"
"09/01/2019","1,823.00","2,442.00","2,518.00","1,823.00","","-23.34%"
"08/01/2019","2,378.00","1,812.00","2,378.00","1,712.00","","27.30%"
"07/01/2019","1,868.00","1,381.00","2,191.00","1,381.00","","37.96%"
"06/01/2019","1,354.00","1,103.00","1,354.00","1,062.00","","23.54%"
"05/01/2019","1,096.00","1,031.00","1,107.00","936.00","","8.41%"
"04/01/2019","1,011.00","685.00","1,011.00","672.00","","46.73%"
"03/01/2019","689.00","664.00","730.00","645.00","","4.71%"
"02/01/2019","658.00","645.00","658.00","595.00","","-1.50%"
"01/01/2019","668.00","1,282.00","1,282.00","668.00","","-47.44%"
"12/01/2018","1,271.00","1,203.00","1,406.00","1,203.00","","3.25%"
"11/01/2018","1,231.00","1,470.00","1,470.00","1,003.00","","-17.38%"
"10/01/2018","1,490.00","1,555.00","1,584.00","1,490.00","","-3.25%"
"09/01/2018","1,540.00","1,557.00","1,557.00","1,356.00","","-2.47%"
"08/01/2018","1,579.00","1,760.00","1,773.00","1,579.00","","-9.62%"
"07/01/2018","1,747.00","1,422.00","1,774.00","1,422.00","","26.14%"
"06/01/2018","1,385.00","1,156.00","1,445.00","1,156.00","","27.06%"
"05/01/2018","1,090.00","1,327.00","1,476.00","1,042.00","","-18.72%"
"04/01/2018","1,341.00","1,016.00","1,376.00","948.00","","27.11%"
"03/01/2018","1,055.00","1,196.00","1,212.00","1,055.00","","-11.49%"
"02/01/2018","1,192.00","1,114.00","1,192.00","1,082.00","","3.47%"
"01/01/2018","1,152.00","1,230.00","1,395.00","1,125.00","","-15.67%"
"12/01/2017","1,366.00","1,626.00","1,743.00","1,366.00","","-13.43%"
"11/01/2017","1,578.00","1,496.00","1,578.00","1,361.00","","3.68%"
"10/01/2017","1,522.00","1,328.00","1,588.00","1,308.00","","12.24%"
"09/01/2017","1,356.00","1,183.00","1,503.00","1,183.00","","14.53%"
"08/01/2017","1,184.00","965.00","1,266.00","965.00","","25.16%"
"07/01/2017","946.00","882.00","980.00","820.00","","4.99%"
"06/01/2017","901.00","850.00","929.00","818.00","","2.62%"
"05/01/2017","878.00","1,073.00","1,073.00","878.00","","-20.83%"
"04/01/2017","1,109.00","1,282.00","1,296.00","1,109.00","","-14.49%"
"03/01/2017","1,297.00","871.00","1,338.00","871.00","","50.99%"
"02/01/2017","859.00","786.00","878.00","685.00","","7.38%"
"01/01/2017","800.00","953.00","983.00","800.00","","-16.75%"
"12/01/2016","961.00","1,196.00","1,198.00","914.00","","-20.18%"
"11/01/2016","1,204.00","838.00","1,257.00","834.00","","40.49%"
